"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"1",508,0.440680451742063,0.388174346084991,152007,"PS",0.555555555555556
"2",509,0.440401346864467,0.555921567406441,152007,"PS",0.555555555555556
"3",510,0.0792464582470302,0.710238257369442,152007,"PS",0.333333333333333
"4",511,0.703063775090814,0.681968557065005,152007,"PS",0.444444444444444
"5",512,0.543277750904071,1,152007,"PS",0.222222222222222
"6",513,0.567481950287772,0.517250295868152,152007,"PS",0
"7",514,0.460734724436625,0.731151719454992,152007,"PS",0.111111111111111
"8",515,0.16105240974309,0.642792111213818,152007,"PS",0.222222222222222
"9",516,0.52993558657149,0.420549609230815,152007,"PS",0.555555555555556
"10",517,0.663898004241132,0.670678062797013,152007,"PS",0
"11",518,0.433260593452681,0.754327325619178,152007,"PS",0.666666666666667
"12",519,0.264340314124875,1,152007,"PS",0.111111111111111
"13",520,0.615130427306883,0.554403757509067,152007,"PS",0.222222222222222
"14",521,0.494087140962501,0.444588003945525,152007,"PS",0.111111111111111
"15",522,0.703009566485103,0.795553243539877,152007,"PS",1
"16",523,0.747429435892515,0.531194715972731,152007,"PS",0.444444444444444
"17",524,0.0792464582470302,0.350318621523596,152007,"PS",0.444444444444444
"18",525,0.846406878238007,0.633233097416934,152007,"PS",0.333333333333333
"19",526,0.260809090448105,0.601075223963021,152007,"PS",0.555555555555556
"20",527,0.349412646506585,0.80285970259349,152007,"PS",0.333333333333333
"21",528,0.498297895350758,0.452761586269942,152007,"PS",0.111111111111111
"22",529,0.383897770517225,0.64350134131097,152007,"PS",0.111111111111111
"23",530,0.177350661522915,0.443494915837723,152007,"PS",0.222222222222222
"24",531,0.747429435892515,0.517250295868152,152007,"PS",0
"25",532,0.236475882679013,0.847462917966785,152007,"PS",0.333333333333333
"26",533,0.364990809707181,0.595963092098397,152007,"PS",0.222222222222222
"27",534,0.640013768364262,0.429477243290776,152007,"PS",0.222222222222222
"28",535,0.0966832321796612,0.517250295868152,152007,"PS",0.555555555555556
"29",536,0.492437514106847,0.452695670341432,152007,"PS",0.333333333333333
"30",537,0.364990809707181,0.314583727323192,152007,"PS",0.888888888888889
"31",538,0.302017702054922,0.287167517346517,152007,"PS",0
"32",539,0.305105732705983,0.607921347342518,152007,"PS",0.111111111111111
"33",541,0.645882209969867,0.535332129922915,152007,"PS",0.666666666666667
"34",542,0.498297895350758,0.551976945157041,152007,"PS",0
"35",543,0,0.593320418444628,152007,"PS",0.666666666666667
"36",544,0.498297895350758,0.542291707810757,152007,"PS",0.555555555555556
"37",545,0.470919630147194,0.448666238928076,152007,"PS",0.111111111111111
"38",546,1,0.655472685027781,152007,"PS",1
"39",547,0.759186941310895,0.619572866528158,152007,"PS",1
"40",548,0.711844073879696,0.517250295868152,152007,"PS",0.555555555555556
"41",549,0.537476986556682,0.531194715972731,152007,"PS",0.666666666666667
"42",550,0.593445823140181,0.429477243290776,152007,"PS",0.777777777777778
"43",551,0.636724526057431,0.0563768559549917,152007,"PS",0.777777777777778
"44",552,0.122331353786952,0.814103122648385,152007,"PS",0.111111111111111
"45",553,0.341768019213625,0.413655815784202,152007,"PS",0.333333333333333
"46",554,0.716019489521716,0.918231069808429,152007,"PS",0.555555555555556
"47",555,0.498297895350758,0.448426591156077,152007,"PS",0
"48",556,0.209865721132608,0.655524324911346,152007,"PS",0
"49",557,1,0.314583727323192,152007,"PS",0
"50",558,0.499603568995862,0.578103245497448,152007,"PS",0.444444444444444
"51",559,0.400046585124191,0.598048786423032,152007,"PS",0.666666666666667
"52",560,0.648606213855592,0.460534490587558,152007,"PS",0.111111111111111
"53",561,0.16105240974309,0.314583727323192,152007,"PS",0.555555555555556
"54",562,0.542336447467567,0.803139255352553,152007,"PS",0
"55",563,0.367331005295847,0.544775205731786,152007,"PS",0.222222222222222
"56",564,0.288463311379541,0.763699072462364,152007,"PS",0.555555555555556
"57",565,0.333693862765444,0.832575070496203,152007,"PS",0
"58",567,0.56993979549915,0.571078440772718,152007,"PS",0
"59",568,0.404966275295733,0.689394880270586,152007,"PS",0.666666666666667
"60",569,0.682386431894037,0.856793928380315,152007,"PS",0.111111111111111
"61",570,0.498297895350758,0.413655815784202,152007,"PS",0.222222222222222
"62",571,0.4550933196113,0.541470861425334,152007,"PS",0.111111111111111
"63",572,0.49447790684702,0.814611508865893,152007,"PS",0
"64",573,0.435545735957793,0.840820540426749,152007,"PS",0.555555555555556
"65",574,0.201747301538302,0.554403757509067,152007,"PS",0
"66",575,0,0.551976945157041,152007,"PS",0
"67",576,0.122331353786952,0.768494479716418,152007,"PS",0.111111111111111
"68",577,0.719935174139524,0.61532729280998,152007,"PS",0.111111111111111
"69",578,0.498297895350758,0.314583727323192,152007,"PS",0.222222222222222
"70",579,0.422244489293447,0.592254738818027,152007,"PS",0
"71",580,0.567481950287772,0.73133441160046,152007,"PS",0
"72",581,0.567481950287772,0.729612415157963,152007,"PS",0.222222222222222
"73",582,0.5538500855351,0.26392621031471,152007,"PS",0.555555555555556
"74",583,0.453039852394503,0.592254738818027,152007,"PS",0
"75",584,0.513479576195591,0.420549609230815,152007,"PS",0.555555555555556
"76",585,0.659574816171898,0.239642414567519,152007,"PS",0.222222222222222
"77",586,0.498297895350758,0.763699072462364,152007,"PS",0
"78",587,0.387957325385795,0.544192032197723,152007,"PS",0.111111111111111
"79",588,0.122331353786952,0.520574609784874,152007,"PS",0.888888888888889
"80",589,0.747429435892515,0.847462917966785,152007,"PS",0.111111111111111
"81",590,0.423728077890902,0.768494479716418,152007,"PS",0.111111111111111
"82",591,0.501460700156396,0.539244593039207,152007,"PS",0.333333333333333
"83",592,0.122331353786952,0.832575070496203,152007,"PS",0.111111111111111
"84",593,0.537476986556682,0.876844385800328,152007,"PS",0.666666666666667
"85",594,0.443013847948274,0.430270246123915,152007,"PS",0.333333333333333
"86",595,0.537476986556682,0.88520726379877,152007,"PS",0.222222222222222
"87",596,0.703009566485103,0.368724099202284,152007,"PS",0.555555555555556
"88",598,0.347851961744363,0.593320418444628,152007,"PS",0.555555555555556
"89",599,0.201747301538302,0.588409277659643,152007,"PS",0
"90",601,1,0.70315419103736,152007,"PS",0
"91",602,0.150867400166874,0.88520726379877,152007,"PS",0
"92",604,0,0.593320418444628,152007,"PS",0.666666666666667
"93",605,0.49447790684702,0.654282794581874,152007,"PS",0.555555555555556
"94",606,0.355097418781005,0.517250295868152,152007,"PS",0.555555555555556
"95",607,0.122331353786952,0.577253407391857,152007,"PS",0.333333333333333
"96",608,0,0.847462917966785,152007,"PS",0.222222222222222
"97",609,0.498297895350758,0.847462917966785,152007,"PS",0
"98",610,0.315431969304669,0.595963092098397,152007,"PS",0.111111111111111
"99",611,0.315431969304669,0.6318652768047,152007,"PS",0.111111111111111
"100",612,0.543013476143191,0.511288536264441,152007,"PS",0.333333333333333
"101",613,0.440401346864467,0.436857130618461,152007,"PS",0.555555555555556
"102",614,0.337264699436882,0.553011474168391,152007,"PS",0
"103",615,0.403889132646507,0.569204755760442,152007,"PS",0.333333333333333
"104",616,0.383897770517225,0.436350326515464,152007,"PS",0.222222222222222
"105",617,0.201747301538302,0.421522402636911,152007,"PS",0
"106",618,0.644597113151643,0.287167517346517,152007,"PS",0.111111111111111
"107",619,0.43349693750694,0.578103245497448,152007,"PS",0.333333333333333
"108",620,0.673924875810694,0.661082485942987,152007,"PS",0.111111111111111
"109",621,0.619781732461702,0.593320418444628,152007,"PS",0.333333333333333
"110",622,0.364990809707181,0.595963092098397,152007,"PS",0.222222222222222
"111",623,0.330115084102175,0.531194715972731,152007,"PS",0.555555555555556
"112",624,0.177350661522915,0.662338105966604,152007,"PS",0
"113",625,0.122331353786952,0.642792111213818,152007,"PS",0.222222222222222
"114",626,0.705626837471586,0.531194715972731,152007,"PS",0
"115",627,0.601262756817597,0.593320418444628,152007,"PS",0.555555555555556
"116",628,0.470919630147194,0.578103245497448,152007,"PS",0.333333333333333
"117",629,0.537476986556682,0.506235553360097,152006,"PPD",0.444444444444444
"118",630,0.512783497127293,1,152006,"PPD",0.555555555555556
"119",631,0,0.731151719454992,152006,"PPD",0
"120",632,0.609963689613654,0.768494479716418,152006,"PPD",0.222222222222222
"121",633,0.466669409845016,0.531194715972731,152006,"PPD",0.111111111111111
"122",634,0.70236013668549,0.314583727323192,152006,"PPD",1
"123",635,0.740789781171796,0.542799749113447,152006,"PPD",0.555555555555556
"124",636,0.609963689613654,0.593320418444628,152006,"PPD",0.222222222222222
"125",637,0.355097418781005,0.477173439057395,152006,"PPD",0.444444444444444
"126",638,0.719935174139524,0.832575070496203,152006,"PPD",1
"127",639,0.521438968441068,0.696221134785064,152006,"PPD",0.222222222222222
"128",640,0.557985422007904,0.751355427812185,152006,"PPD",0.666666666666667
"129",641,0.615130427306883,0.577253407391857,152006,"PPD",0.222222222222222
"130",642,0.482562932028782,0.430270246123915,152006,"PPD",0.333333333333333
"131",643,0.609963689613654,0.825714623066972,152006,"PPD",0.222222222222222
"132",644,0.482562932028782,0.430270246123915,152006,"PPD",0.333333333333333
"133",645,0.759186941310895,0.542291707810757,152006,"PPD",0.666666666666667
"134",646,0.440180524072324,0.517250295868152,152006,"PPD",0.555555555555556
"135",648,0.680458024901025,0.3058919543626,152006,"PPD",0.333333333333333
"136",649,0.537476986556682,0.578103245497448,152006,"PPD",0.333333333333333
"137",650,0.703063775090814,0.256105996317728,152006,"PPD",0.333333333333333
"138",651,0.49465850772352,0.406385051916027,152006,"PPD",0.111111111111111
"139",652,0.201747301538302,0,152006,"PPD",0
"140",653,1,0.681227138188944,152006,"PPD",0
"141",654,0.615130427306883,0.531194715972731,152006,"PPD",0.555555555555556
"142",655,0.341768019213625,0.542291707810757,152006,"PPD",0.666666666666667
"143",656,1,0.578103245497448,152006,"PPD",0.444444444444444
"144",657,0.302750972048442,0.546163672279462,152006,"PPD",0.111111111111111
"145",658,0.403411610574874,0.546163672279462,152006,"PPD",0.222222222222222
"146",659,0.588974386277827,0.564849182854524,152006,"PPD",0
"147",660,0,0.57004776207523,152006,"PPD",0
"148",661,0.341768019213625,0.707084283234727,152006,"PPD",0.555555555555556
"149",662,0.365081499362098,0.936050448032589,152006,"PPD",0.222222222222222
"150",663,0.247643329840897,0.593320418444628,152006,"PPD",0.555555555555556
"151",664,0.364990809707181,0.707084283234727,152006,"PPD",0.444444444444444
"152",665,0.601037886633795,0.578103245497448,152006,"PPD",0.444444444444444
"153",666,0.50723789058205,0.290092627052769,152006,"PPD",0.555555555555556
"154",667,0.122331353786952,0.860019997278811,152006,"PPD",0.222222222222222
"155",668,0.247151370729207,0.660893988750326,152006,"PPD",0.111111111111111
"156",669,0.359105979090049,0.578103245497448,152006,"PPD",0.222222222222222
"157",670,0,0.688175251234293,152006,"PPD",0
"158",671,0.46043314009398,0.368724099202284,152006,"PPD",0.444444444444444
"159",672,0.303921625212281,0.793801941307835,152006,"PPD",0.555555555555556
"160",673,0.349224852176427,0.544900033020653,152006,"PPD",0
"161",674,0.512783497127293,0.814611508865893,152006,"PPD",0.555555555555556
"162",675,0.16105240974309,0.342177638618808,152006,"PPD",0.222222222222222
"163",676,0.512783497127293,0.341241682241708,152006,"PPD",0.222222222222222
"164",677,0.414614891575511,0.847462917966785,152006,"PPD",0.777777777777778
"165",678,0.273988054111437,0.79381773597973,152006,"PPD",0.222222222222222
"166",679,0.42369171470742,0.287167517346517,152006,"PPD",0.444444444444444
"167",681,0.571325750733404,0.1467558620254,152006,"PPD",0.666666666666667
"168",682,0.640931526477322,0.287167517346517,152006,"PPD",0.333333333333333
"169",683,0.659574816171898,0.513721656863895,152006,"PPD",0.222222222222222
"170",684,0.402555978648745,0.490601229284533,152006,"PPD",0.444444444444444
"171",685,0.44031032135791,0.460449284632045,152006,"PPD",0.444444444444444
"172",686,0.665065276753806,0.578103245497448,152006,"PPD",0.555555555555556
"173",687,0.50237000239549,0.691095442631024,152006,"PPD",0.333333333333333
"174",689,0,0.677689129414508,152006,"PPD",0.555555555555556
"175",690,0.34200280919372,0.553011474168391,152006,"PPD",0.333333333333333
"176",691,0.645882209969867,0.697191933448292,152006,"PPD",0.444444444444444
"177",692,0.122331353786952,0.728190152866074,152006,"PPD",0.444444444444444
"178",693,0.517372622222635,0.936050448032589,152006,"PPD",0.333333333333333
"179",694,0.568075267119058,0.782962209796354,152006,"PPD",0.555555555555556
"180",695,0.543277750904071,0.873867323905541,152006,"PPD",0.222222222222222
"181",696,0.344272758058823,0.546163672279462,152006,"PPD",0.222222222222222
"182",697,0.315998910314971,0.607921347342518,152006,"PPD",0.111111111111111
"183",698,0.435545735957793,0.556829583469879,152006,"PPD",0.222222222222222
"184",699,0.640931526477322,0.314583727323192,152006,"PPD",0.333333333333333
"185",700,0.481440450274925,0.643563350431019,152006,"PPD",0.777777777777778
"186",701,0.482562932028782,0.430270246123915,152006,"PPD",0.333333333333333
"187",702,0.49447790684702,0.546163672279462,152006,"PPD",0.111111111111111
"188",703,0,0.328245411794328,152006,"PPD",1
"189",704,0.727353483057654,0.555921567406441,152006,"PPD",0.333333333333333
"190",705,0.756723879584877,0.531194715972731,152006,"PPD",0.111111111111111
"191",712,1,0.361503353219698,152004,"DC",0.777777777777778
"192",713,0.593445823140181,0.593320418444628,152004,"DC",0.222222222222222
"193",714,0.466879911497685,0.593320418444628,152004,"DC",0.444444444444444
"194",716,0.537476986556682,0.4966943057987,152004,"DC",0.333333333333333
"195",717,0.537476986556682,0.518939720367832,152004,"DC",0.222222222222222
"196",718,0.537476986556682,0.123055945641993,152004,"DC",0
"197",719,0.578105338156291,0.421178791890567,152004,"DC",0.444444444444444
"198",720,0.898923606234956,0.571078440772718,152004,"DC",0.222222222222222
"199",721,0.644597113151643,0.306305141365717,152004,"DC",0.111111111111111
"200",722,0.615130427306883,0.407117674588755,152004,"DC",0
"201",723,1,0.593320418444628,152004,"DC",0.444444444444444
"202",724,0.568075267119058,0.593320418444628,152004,"DC",0.444444444444444
"203",725,0.703009566485103,0.503285404922833,152004,"DC",0
"204",726,0.440401346864467,0.568262788993821,152004,"DC",0.333333333333333
"205",727,0.435924233146139,0.539244593039207,152004,"DC",0.111111111111111
"206",728,1,0.593320418444628,152004,"DC",0.444444444444444
"207",729,0.659574816171898,0.481691911100841,152004,"DC",0.222222222222222
"208",730,0.609963689613654,0.768494479716418,152004,"DC",0.222222222222222
"209",731,0.302750972048442,0.858144152344609,152004,"DC",0.555555555555556
"210",732,0.498297895350758,0.368724099202284,152004,"DC",0
"211",733,0.273988054111437,0.726171886943082,152004,"DC",0
